ZLAB, phase1, 2021-12-16, 
MREO, phase1, 2021-12-22, 
FATE, phase1, 2021-12-31, 
RVMD, phase1, 2022-01-11, 
GRTS, phase1, 2022-01-13, 
EXEL, phase1, 2022-01-18, 
VALN, phase1, 2022-01-19, 
AIM, phase1, 2022-01-24, 
ARCT, phase1, 2022-01-24, 
BLRX, phase1, 2022-01-24, 
TSHA, phase1, 2022-01-31, 
ATHX, phase1, 2022-02-02, 
FRLN, phase1, 2022-02-08, 
MESO, phase1, 2022-02-20, 
RZLT, phase1, 2022-02-22, 
CYAD, phase1, 2022-03-02, 
SLDB, phase1, 2022-03-14, 
AMGN, phase1, 2022-03-15, 
IDYA, phase1, 2022-03-15, 
LBPS, phase1, 2022-03-23, 
BIIB, phase1, 2022-03-28, 
IONS, phase1, 2022-03-28, 
ALZN, phase1, 2022-03-28, 
WVE, phase1, 2022-04-04, 
ALPN, phase1, 2022-04-12, 
KPRX, phase1, 2022-04-25, 
ANAB, phase1, 2022-04-27, 
LCTX, phase1, 2022-05-02, 
UBX, phase1, 2022-05-04, 
LBPS, phase1, 2022-05-17, 
RARE, phase1, 2022-05-19, 
RARE, phase1, 2022-05-19, 
PFE, phase1, 2022-05-23, 
BNTX, phase1, 2022-05-23, 
CRNX, phase1, 2022-05-25, 
ADAP, phase1, 2022-05-26, 
HOOK, phase1, 2022-05-26, 
REGN, phase1, 2022-05-26, 
BGNE, phase1, 2022-05-26, 
ZYME, phase1, 2022-05-26, 
BMRN, phase1, 2022-05-31, 
MURA, phase1, 2022-06-01, 
ALKS, phase1, 2022-06-01, 
BNTX, phase1, 2022-06-05, 
IMCR, phase1, 2022-06-05, 
VERU, phase1, 2022-06-06, 
EFTR, phase1, 2022-06-06, 
PFE, phase1, 2022-06-06, 
GMAB, phase1, 2022-06-06, 
MRK, phase1, 2022-06-06, 
IMVIQ, phase1, 2022-06-06, 
DTIL, phase1, 2022-06-08, 
DTIL, phase1, 2022-06-08, 
BBIO, phase1, 2022-06-10, 
ETNB, phase1, 2022-06-27, 
CDAK, phase1, 2022-06-30, 
CYCC, phase1, 2022-06-30, 
NVO, phase1, 2022-07-11, 
RARE, phase1, 2022-07-18, 
ARTL, phase1, 2022-07-19, 
JNJ, phase1, 2022-07-26, 
MBRX, phase1, 2022-07-28, 
